Name,Lat Dd,Sec Town,Long Dd,Longitude,Structures,Yr Confirm,Latitude,Status,Aprox Str1,Yr Range1,Aprox Str2,Yr Range2,latitude,longitude
,11.217222,,25.271111,0251616,~50 of ~50,2006,111302.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.2172222224278,25.2711111110891
,11.18,,25.2125,0251245,,2006,111048.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1799999997004,25.2125000000751
,11.084444,,25.313889,0251850,~50 of ~50,2006,110504.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.084444444056,25.3138888885615
,11.088889,,25.301667,0251806,~25 of ~25,2006,110520.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.0888888891111,25.3016666666835
,11.081389,,25.302222,0251808,~50 of ~50,2006,110453.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.0813888885865,25.3022222219781
,11.078333,,25.273889,0251626,,2006,110442.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.078333333117,25.2738888884616
,11.081111,,25.275833,0251633,,2006,110452.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.0811111113889,25.2758333333418
,11.073611,,25.252222,0251508,,2006,110425.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.0736111108642,25.252222222078
,11.128056,,25.254167,0251515,~50 of ~50,2006,110741.0,DESTROYED,50.0,2006.0,50.0,2006.0,11.1280555558194,25.2541666669583
,11.113056,,25.239722,0251423,~100 of ~100,2006,110647.0,DESTROYED,100.0,2006.0,100.0,2006.0,11.1130555556695,25.239722222103
,11.126389,,25.214722,0251253,,2006,110735.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.1263888890361,25.214722222153
,11.198889,,25.228889,0251344,~25 of ~25,2006,111156.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.1988888887114,25.2288888889113
,11.150278,,25.278889,0251644,~25 of ~25,2006,110901.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.1502777774976,25.2788888888113
,11.149722,,25.263611,0251549,~25 of ~25,2006,110859.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.149722222203,25.2636111114638
,11.140556,,25.278056,0251641,~25 of ~25,,110826.0,DESTROYED,25.0,0.0,25.0,0.0,11.1405555557944,25.2780555554197
,11.155,,25.262222,0251544,~25 of ~25,2006,110918.0,DESTROYED,25.0,2006.0,25.0,2006.0,11.1549999997504,25.2622222218782
,11.154722,,25.251944,0251507,~75 of ~75,2006,110917.0,DESTROYED,75.0,2006.0,75.0,2006.0,11.1547222225527,25.2519444448804
